UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;PerceivedDifficultyLikert;AverageClickTimeMS;TargetSize;TargetEccentricity
-1;-1;-1;2026-04-27 10:28:13;1;sampling;FALSE;50.5;926.507;0.307;0.225
-1;-1;-1;2026-04-27 10:28:16;2;sampling;FALSE;50.5;435.668;0.37;0.063
-1;-1;-1;2026-04-27 10:28:19;3;sampling;FALSE;50.5;373.288;0.338;0.03
-1;-1;-1;2026-04-27 10:28:22;4;sampling;FALSE;50.5;680.752;0.315;0.339
-1;-1;-1;2026-04-27 10:28:26;5;sampling;FALSE;50.5;607.714;0.327;0.273
-1;-1;-1;2026-04-27 10:28:29;6;sampling;FALSE;50.5;655.432;0.369;0.389
-1;-1;-1;2026-04-27 10:28:34;7;sampling;FALSE;50.5;895.035;0.379;0.644
-1;-1;-1;2026-04-27 10:28:38;8;sampling;FALSE;50.5;737.211;0.32;0.634
-1;-1;-1;2026-04-27 10:28:40;9;sampling;TRUE;50.5;303.266;0.305;0.005
-1;-1;-1;2026-04-27 10:28:44;10;sampling;FALSE;50.5;616.071;0.373;0.248
-1;-1;-1;2026-04-27 10:28:47;11;sampling;FALSE;50.5;496.683;0.397;0.079
-1;-1;-1;2026-04-27 10:28:51;12;sampling;FALSE;50.5;802.226;0.355;0.525
-1;-1;-1;2026-04-27 10:28:55;13;sampling;FALSE;50.5;720.462;0.367;0.827
-1;-1;-1;2026-04-27 10:28:59;14;sampling;FALSE;50.5;552.011;0.332;0.099
-1;-1;-1;2026-04-27 10:29:03;15;sampling;FALSE;50.5;785.016;0.344;0.644
-1;-1;-1;2026-04-27 10:29:12;16;finaldesign;NULL;50.5;338.834;0.305;0.005
