UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;PerceivedDifficultyLikert;AverageClickTimeMS;TargetSize;TargetEccentricity
-1;-1;-1;2026-04-09 03:24:07;1;sampling;TRUE;5.0;786.821;0.307;0.225
-1;-1;-1;2026-04-09 03:24:12;2;sampling;TRUE;2.0;659.824;0.37;0.063
-1;-1;-1;2026-04-09 03:24:18;3;sampling;FALSE;2.0;830.308;0.338;0.03
-1;-1;-1;2026-04-09 03:24:24;4;sampling;FALSE;5.0;969.228;0.315;0.339
-1;-1;-1;2026-04-09 03:24:31;5;sampling;FALSE;3.0;897.495;0.327;0.273
-1;-1;-1;2026-04-09 03:24:37;6;sampling;FALSE;5.0;962.438;0.369;0.389
-1;-1;-1;2026-04-09 03:24:44;7;sampling;FALSE;5.0;1396.83;0.379;0.644
-1;-1;-1;2026-04-09 03:24:50;8;sampling;FALSE;5.0;1027.596;0.32;0.634
-1;-1;-1;2026-04-09 03:24:55;9;sampling;TRUE;1.0;534.927;0.305;0.005
-1;-1;-1;2026-04-09 03:25:02;10;sampling;FALSE;5.0;996.017;0.373;0.248
-1;-1;-1;2026-04-09 03:25:08;11;sampling;FALSE;2.0;789.563;0.397;0.079
-1;-1;-1;2026-04-09 03:25:13;12;sampling;FALSE;5.0;952.095;0.355;0.525
-1;-1;-1;2026-04-09 03:25:20;13;sampling;FALSE;5.0;1064.779;0.367;0.827
-1;-1;-1;2026-04-09 03:25:26;14;sampling;FALSE;2.0;883.176;0.332;0.099
-1;-1;-1;2026-04-09 03:25:32;15;sampling;FALSE;4.0;994.247;0.344;0.644
-1;-1;-1;2026-04-09 03:25:42;16;finaldesign;NULL;5;1045.972;0.307;0.225
