UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;PerceivedDifficultyLikert;AverageClickTimeMS;TargetSize;TargetEccentricity
-1;-1;-1;2026-04-26 01:14:01;1;sampling;FALSE;3.0;678.417;0.307;0.225
-1;-1;-1;2026-04-26 01:14:06;2;sampling;FALSE;3.0;565.957;0.37;0.063
-1;-1;-1;2026-04-26 01:14:12;3;sampling;FALSE;3.0;697.156;0.338;0.03
-1;-1;-1;2026-04-26 01:14:16;4;sampling;FALSE;3.0;706.478;0.315;0.339
-1;-1;-1;2026-04-26 01:14:20;5;sampling;FALSE;3.0;742.621;0.327;0.273
-1;-1;-1;2026-04-26 01:14:24;6;sampling;FALSE;3.0;676.83;0.369;0.389
-1;-1;-1;2026-04-26 01:14:31;7;sampling;FALSE;3.0;824.683;0.379;0.644
-1;-1;-1;2026-04-26 01:14:37;8;sampling;FALSE;3.0;813.972;0.32;0.634
-1;-1;-1;2026-04-26 01:14:42;9;sampling;FALSE;3.0;466.063;0.305;0.005
-1;-1;-1;2026-04-26 01:14:47;10;sampling;FALSE;3.0;743.495;0.373;0.248
-1;-1;-1;2026-04-26 01:15:00;11;optimization;FALSE;3.0;542.313;0.3;0.027
-1;-1;-1;2026-04-26 01:15:08;12;optimization;TRUE;3.0;442.375;0.311;0.0
-1;-1;-1;2026-04-26 01:15:24;13;optimization;FALSE;3.0;886.714;0.3;1.0
-1;-1;-1;2026-04-26 01:15:33;14;optimization;FALSE;3.0;932.426;0.4;1.0
-1;-1;-1;2026-04-26 01:15:49;15;optimization;FALSE;3.0;702.428;0.388;0.0
-1;-1;-1;2026-04-26 01:15:56;16;finaldesign;NULL;3;415.588;0.311;0
