UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;PerceivedDifficultyLikert;AverageClickTimeMS;TargetSize;TargetEccentricity
-1;-1;-1;2026-04-09 15:48:01;11;optimization;FALSE;2.0;898.702;0.379;0.107
-1;-1;-1;2026-04-09 15:48:14;12;optimization;FALSE;4.0;847.986;0.338;0.274
-1;-1;-1;2026-04-09 15:48:20;13;optimization;FALSE;3.0;817.239;0.3;0.342
-1;-1;-1;2026-04-09 15:48:26;14;optimization;TRUE;6.0;1016.744;0.4;1.0
-1;-1;-1;2026-04-09 15:48:32;15;optimization;FALSE;4.0;835.745;0.4;0.421
-1;-1;-1;2026-04-09 15:48:42;6;finaldesign;NULL;6;1248.941;0.4;1
