UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;task_completion_time;accuracy;mental_demand;circle_size;circle_distance;movement_direction
-1;-1;-1;2026-05-04 14:22:54;1;sampling;FALSE;120000.0;100.0;3.0;45.477;341.245;125.853
-1;-1;-1;2026-05-04 14:23:06;2;sampling;FALSE;9692.627;100.0;3.0;45.007;422.713;5.476
-1;-1;-1;2026-05-04 14:23:31;3;sampling;FALSE;21881.348;100.0;3.0;51.79;402.812;48.628
-1;-1;-1;2026-05-04 14:23:46;4;sampling;FALSE;12130.371;90.909;3.0;61.805;592.623;70.056
-1;-1;-1;2026-05-04 14:23:56;5;sampling;FALSE;7620.85;100.0;3.0;102.901;568.012;36.311
-1;-1;-1;2026-05-04 14:24:07;6;sampling;FALSE;7516.357;100.0;3.0;90.684;249.555;0.932
-1;-1;-1;2026-05-04 14:24:17;7;sampling;TRUE;7468.994;100.0;3.0;98.031;353.85;174.401
-1;-1;-1;2026-05-04 14:24:29;8;sampling;FALSE;9732.91;100.0;3.0;46.309;515.741;94.514
-1;-1;-1;2026-05-04 14:24:40;9;sampling;FALSE;7999.512;90.909;3.0;93.508;666.757;57.234
-1;-1;-1;2026-05-04 14:24:57;10;sampling;FALSE;14923.34;90.909;3.0;47.929;459.339;116.002
-1;-1;-1;2026-05-04 14:25:34;11;optimization;FALSE;11448.975;100.0;3.0;71.88;473.946;45.88
-1;-1;-1;2026-05-04 14:25:57;12;optimization;FALSE;8530.029;100.0;3.0;120.0;330.896;132.949
-1;-1;-1;2026-05-04 14:26:36;13;optimization;FALSE;12388.184;100.0;3.0;116.255;407.176;180.0
-1;-1;-1;2026-05-04 14:27:07;14;optimization;FALSE;7687.5;100.0;3.0;87.896;411.036;38.858
-1;-1;-1;2026-05-04 14:27:47;15;optimization;FALSE;7948.73;90.909;3.0;108.86;327.22;10.074
-1;-1;-1;2026-05-04 14:27:59;16;finaldesign;NULL;9395.264;100;3;98.031;353.85;174.401
