UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;PerceivedDifficultyLikert;AverageClickTimeMS;TargetSize;TargetEccentricity
-1;-1;-1;2026-05-03 14:23:25;1;sampling;FALSE;10.5;635.973;0.307;0.225
-1;-1;-1;2026-05-03 14:23:29;2;sampling;FALSE;10.5;622.84;0.37;0.063
-1;-1;-1;2026-05-03 14:23:32;3;sampling;FALSE;10.5;365.739;0.338;0.03
-1;-1;-1;2026-05-03 14:23:34;4;sampling;FALSE;10.5;337.357;0.315;0.339
-1;-1;-1;2026-05-03 14:23:38;5;sampling;FALSE;10.5;864.383;0.327;0.273
-1;-1;-1;2026-05-03 14:23:42;6;sampling;FALSE;10.5;647.715;0.369;0.389
-1;-1;-1;2026-05-03 14:23:47;7;sampling;FALSE;10.5;997.009;0.379;0.644
-1;-1;-1;2026-05-03 14:23:51;8;sampling;FALSE;10.5;749.996;0.32;0.634
-1;-1;-1;2026-05-03 14:23:53;9;sampling;FALSE;10.5;345.949;0.305;0.005
-1;-1;-1;2026-05-03 14:23:57;10;sampling;FALSE;10.5;716.07;0.373;0.248
-1;-1;-1;2026-05-03 14:24:12;11;optimization;FALSE;10.5;948.771;0.3;1.0
-1;-1;-1;2026-05-03 14:24:25;12;optimization;FALSE;10.5;465.029;0.4;0.0
-1;-1;-1;2026-05-03 14:24:36;13;optimization;TRUE;10.5;323.438;0.3;0.0
-1;-1;-1;2026-05-03 14:24:49;14;optimization;FALSE;10.5;940.041;0.4;1.0
-1;-1;-1;2026-05-03 14:25:21;15;optimization;FALSE;10.5;351.166;0.335;0.0
