UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;task_completion_time;accuracy;mental_demand;circle_size;circle_distance;movement_direction
-1;-1;-1;2026-05-07 00:01:46;1;sampling;FALSE;12790.161;100.0;3.0;45.477;341.245;125.853
-1;-1;-1;2026-05-07 00:02:28;2;sampling;FALSE;21416.793;71.429;1.0;45.007;422.713;5.476
-1;-1;-1;2026-05-07 00:02:46;3;sampling;FALSE;14548.432;100.0;2.0;51.79;402.812;48.628
-1;-1;-1;2026-05-07 00:03:00;4;sampling;FALSE;10915.832;90.909;2.0;61.805;592.623;70.056
-1;-1;-1;2026-05-07 00:03:15;5;sampling;FALSE;11628.266;100.0;1.0;102.901;568.012;36.311
-1;-1;-1;2026-05-07 00:03:33;6;sampling;TRUE;7712.234;100.0;1.0;90.684;249.555;0.932
-1;-1;-1;2026-05-07 00:03:55;7;sampling;FALSE;10202.835;100.0;2.0;98.031;353.85;174.401
-1;-1;-1;2026-05-07 00:04:08;8;sampling;FALSE;9616.729;100.0;1.0;46.309;515.741;94.514
-1;-1;-1;2026-05-07 00:04:34;9;sampling;FALSE;19887.908;100.0;2.0;93.508;666.757;57.234
-1;-1;-1;2026-05-07 00:04:52;10;sampling;FALSE;14164.367;100.0;4.0;47.929;459.339;116.002
-1;-1;-1;2026-05-07 00:05:36;11;optimization;FALSE;20634.645;100.0;1.0;91.16;269.838;25.523
-1;-1;-1;2026-05-07 00:06:10;12;optimization;FALSE;8631.775;100.0;4.0;40.0;220.0;88.193
-1;-1;-1;2026-05-07 00:06:50;13;optimization;FALSE;8759.826;90.909;4.0;103.783;432.709;0.0
-1;-1;-1;2026-05-07 00:07:26;14;optimization;FALSE;12613.221;100.0;4.0;44.115;534.343;66.331
-1;-1;-1;2026-05-07 00:08:03;15;optimization;FALSE;10530.609;100.0;1.0;86.767;247.312;11.442
-1;-1;-1;2026-05-07 00:08:16;16;finaldesign;NULL;6304.84;100;1;90.684;249.555;0.932
