UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;PerceivedDifficultyLikert;AverageClickTimeMS;TargetSize;TargetEccentricity
-1;-1;-1;2026-04-24 11:55:05;1;sampling;FALSE;10.5;806.245;0.307;0.225
-1;-1;-1;2026-04-24 11:55:10;2;sampling;FALSE;10.5;807.939;0.37;0.063
-1;-1;-1;2026-04-24 11:55:14;3;sampling;TRUE;10.5;447.877;0.338;0.03
-1;-1;-1;2026-04-24 11:55:19;4;sampling;FALSE;10.5;680.406;0.315;0.339
-1;-1;-1;2026-04-24 11:55:25;5;sampling;FALSE;10.5;718.903;0.327;0.273
-1;-1;-1;2026-04-24 11:55:30;6;sampling;FALSE;10.5;851.716;0.369;0.389
-1;-1;-1;2026-04-24 11:55:36;7;sampling;FALSE;10.5;856.074;0.379;0.644
-1;-1;-1;2026-04-24 11:55:41;8;sampling;FALSE;10.5;904.177;0.32;0.634
-1;-1;-1;2026-04-24 11:55:46;9;sampling;FALSE;10.5;607.01;0.305;0.005
-1;-1;-1;2026-04-24 11:55:53;10;sampling;FALSE;10.5;732.857;0.373;0.248
-1;-1;-1;2026-04-24 11:56:07;11;optimization;FALSE;10.5;498.528;0.33;0.007
