UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;PerceivedDifficultyLikert;AverageClickTimeMS;TargetSize;TargetEccentricity
-1;-1;-1;2026-04-27 10:19:21;1;sampling;FALSE;50.5;761.105;0.307;0.225
-1;-1;-1;2026-04-27 10:19:30;2;sampling;FALSE;50.5;728.399;0.37;0.063
-1;-1;-1;2026-04-27 10:19:35;3;sampling;TRUE;50.5;421.389;0.338;0.03
-1;-1;-1;2026-04-27 10:19:43;4;sampling;FALSE;50.5;956.025;0.315;0.339
-1;-1;-1;2026-04-27 10:19:50;5;sampling;FALSE;50.5;780.285;0.327;0.273
-1;-1;-1;2026-04-27 10:19:57;6;sampling;FALSE;50.5;1090.265;0.369;0.389
-1;-1;-1;2026-04-27 10:20:02;7;sampling;FALSE;50.5;884.496;0.379;0.644
-1;-1;-1;2026-04-27 10:20:09;8;sampling;FALSE;50.5;805.154;0.32;0.634
-1;-1;-1;2026-04-27 10:20:14;9;sampling;FALSE;50.5;556.48;0.305;0.005
-1;-1;-1;2026-04-27 10:20:20;10;sampling;FALSE;50.5;916.372;0.373;0.248
-1;-1;-1;2026-04-27 10:20:25;11;sampling;FALSE;50.5;645.782;0.397;0.079
-1;-1;-1;2026-04-27 10:20:30;12;sampling;FALSE;50.5;725.789;0.355;0.525
-1;-1;-1;2026-04-27 10:20:37;13;sampling;FALSE;50.5;806.808;0.367;0.827
-1;-1;-1;2026-04-27 10:20:45;14;sampling;FALSE;50.5;580.673;0.332;0.099
-1;-1;-1;2026-04-27 10:20:54;15;sampling;FALSE;50.5;1427.867;0.344;0.644
